seed,rating,uscf,name,fed,uscfid,expire,FIDE ID,schedule,byes,,
 72 , 2237 , 2319 FM , Jouaquin Carlos Banawa , PHI , 12780583 , 05/23 , 5201632 , 5day ,  ,  ,  
 73 , 2220 , 2415 , Lev Paciorkowski , NY , 14774846 , 02/22 , 30904625 , 5day ,  ,  ,  
 74 , 2220 , 2359 IM , Timothy Taylor , CA , 10153557 , Life , 2000393 , 5day ,  ,  ,  
 75 , 2205 , 2376 , Andy Lin , AZ , 12926132 , 08/21 , 2043688 , 5day ,  ,  ,  
 76 , 2204 , 2326 , Eddy Tian , NJ , 15249281 , 03/23 , 30931975 , 5day ,  ,  ,  
 77 , 2198 , 2285 , Shelev Oberoi , TX , 14961028 , 11/21 , 30908590 , 5day ,  ,  ,  
 78 , 2181 , 2266 , Ryo Wenyu Chen , TX , 16914802 , 02/22 , 7003072 , 5day ,  ,  ,  
 79 , 2179 , 2272 , Josue Velazquez Martinez , MEX , 16037324 , 02/22 , 5101107 , 5day ,  ,  ,  
 80 , 2172 , 2263 FM , Anthony Atanasov , CAN , 30050485 , 10/21 , 2623897 , 5day ,  ,  ,  
 81 , 2169 , 2220 , Andrey Ubushiev , RUS , 30149887 , 03/22 , 4168585 , 5day ,  ,  ,  
 82 , 2165 , 2257 CM , Vyom Vidyarthi , CA , 15107740 , 04/22 , 30931649 , 5day ,  ,  ,  
 83 , 2149 , 2287 , Ming Lu , CA , 15211462 , 08/22 , 30930880 , 5day ,  ,  ,  
 84 , 2144 , 2278 WIM , Rochelle Wu , CA , 14901590 , 04/25 , 30908132 , 5day ,  ,  ,  
 85 , 2136 , 2247 FM , Michael Feinstein , TX , 12026920 , 03/23 , 2018730 , 5day , 5 ,  , ** 
 86 , 2135 , 2262 , Derek Wu , CA , 14879327 , 03/23 , 30914558 , 5day ,  ,  ,  
 87 , 2131 , 2267 , Sharvesh Deviprasath , TX , 14761270 , 03/22 , 30938228 , 5day , 1 ,  ,  
 88 , 2128 , 2157 , Naman Kumar , FL , 14982397 , 01/22 , 30908922 , 5day ,  ,  ,  
 89 , 2127 , 2346/10 , Eduard Hakobyan , CA , 17328367 , 04/23 , 13310860 , 5day ,  ,  ,  
 90 , 2126 , 2299 , Alex Kolay , CA , 15470820 , 07/21 , 30919991 , 5day ,  ,  ,  
 91 , 2117 , 2216 , Grayson Rorrer , TX , 16027820 , 05/22 , 30944996 , 5day ,  ,  ,  
 92 , 2106 , 2260 , Kevin Pan , CA , 14740822 , 11/23 , 30915708 , 5day , 1 ,  ,  
 93 , 2103 , 2260 , Richard Yi , CA , 13640892 , 12/21 , 2079518 , 5day ,  ,  ,  
 94 , 2102 , 2253 FM , Eugene Yanayt , CA , 12598805 , 06/22 , 2020165 , 5day ,  ,  ,  
 95 , 2102 , 2251 , Hersh Singh , WI , 15024326 , 04/22 , 30918804 , 5day ,  ,  ,  
 96 , 2100 , 2297 CM , Samrug Narayanan , MN , 14653287 , 07/21 , 30914051 , 5day , 1 ,  ,  
 97 , 2084 , 2242 WCM , Ruiyang Yan , CA , 15462690 , 09/23 , 30919860 , 5day ,  ,  , ** 
 98 , 2083 , 2267 , Andy Austin Woodward , TX , 16302012 , 02/22 , 30953499 , 5day ,  ,  ,  
 99 , 2071 , 2295 , Teddie Wen , CA , 15215643 , 11/22 , 30952247 , 5day ,  ,  ,  
 100 , 2068 , 2211 , Milind Maiti , CA , 14442276 , 05/22 , 2090767 , 5day ,  ,  ,  
 101 , 2053 , 2197 , David Mbonu , NY , 13240246 , 10/21 , 30927420 , 5day ,  ,  ,  
 102 , 2050 , 2097 , Andy Reeder , AL , 12563751 , 06/22 , 2016516 , 5day ,  ,  ,  
 103 , 2046 , 2272 CM , Brandon Yang Xia , CA , 14883805 , 03/26 , 30921880 , 5day ,  ,  ,  
 104 , 2037 , 2216 , Jonathan Chen , CA , 15268913 , 07/21 , 30919878 , 5day ,  ,  ,  
 105 , 2037 , 2194 , Sandeep Sethuraman , AZ , 15472832 , 11/23 , 30941091 , 5day ,  ,  ,  
 106 , 2014 , 2233 , Tommy Wen , CA , 15215658 , 11/22 , 30952255 , 5day ,  ,  ,  
 107 , 2013 , 2207 , Caleb Wan , CA , 13810510 , 01/22 , 30953090 , 5day ,  ,  ,  
 108 , 2009 , 2148 , Robert Akopian , CA , 12840448 , 06/22 , 2023172 , 5day ,  ,  , ** 
 109 , 2006 , 2207 , Michael Aigner , CA , 12595730 , 04/26 , 2017288 , 5day ,  ,  ,  
 110 , 1998 , 2204 CM , Bryan Xie , CA , 15733084 , 05/23 , 30941296 , 5day ,  ,  ,  
 111 , 1995 , 2247 , Harry Le , GA , 15415324 , 12/21 , 30927838 , 5day ,  ,  ,  
 112 , 1994 , 2216 , Ryan Amburgy , OK , 15437654 , 04/23 , 30924820 , 5day ,  ,  ,  
 113 , 1988 , 2205 , Gabriel Eidelman , CA , 14949655 , 10/21 , 30910544 , 5day ,  ,  ,  
 114 , 1986 , 2138 CM , Adrian Kondakov , CA , 15082597 , 01/23 , 30920302 , 5day ,  ,  ,  
 115 , 1983 , 2211 , Alex Wang , CA , 14930994 , 04/23 , 30943876 , 5day ,  ,  , ** 
 116 , 1981 , 2192 CM , Sriram Krishnakumar , CA , 15375510 , 01/23 , 30915856 , 5day ,  ,  ,  
 117 , 1956 , 2104 , Richard Wagner , NY , 12590536 , 04/22 , 2037866 , 5day ,  ,  ,  
 118 , 1952 , 2144 , Daniel Herman , CO , 14345456 , 12/21 , 30935008 , 5day ,  ,  ,  
 119 , 1934 , 2059 , Saif Shawkat , IL , 15147820 , 06/22 , 30943868 , 5day ,  ,  ,  
 120 , 1913 , 2123 , Harshid Kunka , TX , 15430006 , 07/22 , 30922216 , 5day ,  ,  ,  
 121 , 1902 , 1800 , George Kvakovszky , LA , 10286433 , 05/22 , 2016770 , 5day , 1 ,  ,  
 122 , 1895 , 2228 , Sullivan Mac McConnell , CO , 14696346 , 01/23 , 30934885 , 5day ,  ,  ,  
 123 , 1878 , 2105 , Aaryan Deshpande , WA , 14245381 , 10/21 , 2097257 , 5day ,  ,  ,  
 124 , 1823 , 2041 , Griffin Thomas McConnell , CO , 14692997 , 03/23 , 30942551 , 5day ,  ,  ,  
 125 , 1812 , 1921 , Christopher Au , CA , 12373390 , Life , 2095335 , 5day ," 2,4,6,8 ",  ,  
 126 , 1760 , 2048 , Alan Finkelstein , CA , 14958842 , 02/23 , 30950961 , 5day ,  ,  ,  
 127 , 1651 , 1402 , John Kenneth Tayamora Ner , LA , 15446333 , 05/22 , 30955416 , 5day ,  ,  ,  
 128 , 1595 , 1626 , Sridhar Seshadri , WA , 15209153 , 08/22 , 30913942 , 5day ,  ,  ,  
 129 , 1463 , 1538/14 , Saad Al-Deen Mohammad , JOR , 30052876 , 10/21 , 8111456 , 5day ," 6,7 ",  ,  
 130 ,  , 1751 , Riley Shoaf , MO , 16398185 , 04/23 , 30976880 , 5day ,  ,  ,  
 131 ,  , 1723 , Jay Garrison , AZ , 12653755 , 10/22 , 30974801 , 5day ,  ,  ,  
 132 ,  , 1708 , Cameron Welles Thompson , WA , 15152107 , 07/22 , 30977118 , 5day , 9 ,  ,  
 133 ,  , 1619 , Joseph Michael Ross , FL , 11300791 , 05/22 , 30977258 , 5day , 1 ,  ,  
 134 ,  , 1402 , George W Lundy , ID , 10473357 , Life , 2075369 , 5day ,  ,  ,  
 135 ,  , 1367/16 , Taimoor Syed , NY , 17172077 , 11/21 ,  , 5day , 1 ,  ,  
 136 ,  , 1069/04 , Micajah Marcom Farrell , TX , 30148172 , 03/22 , 30977967 , 5day ,  ,  ,  
 137 ,  , 881/16 , Josiah Gregory Ross , KS , 15765707 , 03/23 , 30925320 , 5day ,  ,  ,  
 138 ,  ,  , Riley Cudney , CA , 30202687 , 06/22 , 30977886 , 5day ,  ,  ,  
 139 ,  ,  , Ronald Allen , CA , 30086796 , 12/21 , 30977177 , 5day ,  ,  ,
